Ceren,Çelik,236475514,2.2341604,2,K
Hasan,Acar,236149165,2.1486359,3,E
Ali,Öztürk,236850511,2.4873037,2,E
Ahmet,Doğan,236774300,2.1955762,2,E
Ali,Demir,236927924,3.359498,3,E
Emre,Şahin,236847833,3.8548574,4,E
Emre,Aslan,236935276,2.5254188,1,E
Deniz,Doğan,236185802,2.2765446,4,K
Mert,Yılmaz,236406759,3.514906,2,E
Burak,Kaya,236238333,1.2671249,4,E
Ahmet,Kaya,236085736,2.189353,3,E
Ebru,Şahin,236239837,3.3546903,4,K
Fatma,Demir,236641020,1.8650665,4,K
Mehmet,Şahin,236309242,1.215661,4,E
Kerem,Kaya,236166363,3.8608787,2,E
Zeynep,Demir,236653499,2.133913,4,K
Ceren,Doğan,236319654,1.9912591,1,K
Kerem,Koç,236107051,3.3225794,3,E
Emre,Acar,236203267,3.8400297,1,E
Yusuf,Öztürk,236783909,3.7339969,1,E
Mehmet,Öztürk,236999776,2.1380134,2,E
Elif,Öztürk,236718374,2.1828418,4,K
Burak,Aslan,236704971,2.8506825,1,E
Yusuf,Koç,236468790,2.8705971,1,E
Emre,Çelik,236028916,3.0448248,1,E
Mustafa,Öztürk,236812282,3.025945,1,E
Meryem,Yılmaz,236763271,1.1478193,1,K
Ayşe,Çelik,236527073,3.0558875,2,K
Deniz,Demir,236563120,1.0062773,2,K
Mustafa,Çelik,236392496,1.167453,1,E
Mehmet,Aslan,236868852,3.375178,2,E
Mustafa,Şahin,236171317,2.591388,2,E
İrem,Yılmaz,236595633,1.0724615,3,K
Mustafa,Şahin,236106317,1.679601,4,E
İrem,Acar,236510075,3.4811933,2,K
Ceren,Koç,236430426,2.0102255,1,K
Seda,Kaya,236975515,2.101397,2,K
Hasan,Demir,236492941,3.1115692,3,E
Deniz,Acar,236398701,1.1915348,1,K
Ali,Demir,236653012,2.293082,2,E
Elif,Demir,236993437,1.7062078,3,K
Deniz,Yılmaz,236451496,1.7726438,4,K
İrem,Şahin,236314758,3.7582588,1,K
Burak,Yılmaz,236685694,2.6303153,4,E
Emre,Şahin,236590576,3.0021129,3,E
Ahmet,Aslan,236896336,2.0553403,1,E
Elif,Kaya,236691757,1.9584932,4,K
Seda,Koç,236892367,2.732242,3,K
Yusuf,Şahin,236583576,1.451848,1,E
Fatma,Acar,236796143,1.5206916,2,K
Mustafa,Doğan,236644785,2.5997734,3,E
Ali,Yılmaz,236512471,3.7003047,3,E
Mehmet,Koç,236366752,1.0329354,4,E
Fatma,Çelik,236040876,1.9942696,3,K
Ahmet,Kaya,236444300,3.1045625,2,E
Ahmet,Öztürk,236595841,1.2638432,1,E
Ayşe,Doğan,236806304,2.4062753,1,K
Ceren,Çelik,236395621,3.7291126,3,K
Ali,Acar,236151395,3.0931854,2,E
İrem,Aslan,236323857,2.7604282,3,K
Mustafa,Öztürk,236528569,2.752841,1,E
Zeynep,Kaya,236405044,1.7806219,3,K
Ayşe,Aslan,236601858,1.2623155,4,K
Fatma,Doğan,236819493,3.5922132,1,K
Deniz,Aslan,236948694,2.4638062,1,K
Mehmet,Demir,236076077,3.1085846,2,E
Ayşe,Yılmaz,236974115,2.2653522,1,K
Ayşe,Yılmaz,236543543,2.0264945,1,K
Seda,Öztürk,236383659,1.919246,4,K
Fatma,Yılmaz,236448349,1.5728621,4,K
İrem,Aslan,236681190,3.7414432,3,K
Fatma,Koç,236038104,3.1256702,1,K
Ceren,Aslan,236046904,1.1716037,3,K
Fatma,Demir,236293644,3.9218946,4,K
Kerem,Kaya,236774808,3.1115928,3,E
Mert,Öztürk,236424565,1.2900258,1,E
Fatma,Şahin,236596294,2.4624186,4,K
Ahmet,Acar,236871162,2.0870385,4,E
Seda,Doğan,236948079,2.2632222,1,K
Mehmet,Acar,236567893,1.3762656,3,E
Meryem,Kaya,236910375,2.1443684,2,K
Ceren,Kaya,236056164,3.5908792,1,K
Mustafa,Öztürk,236129867,2.778734,2,E
Mehmet,Doğan,236156247,3.615457,2,E
Emre,Demir,236565817,1.7554843,2,E
Ayşe,Aslan,236176382,1.6540116,2,K
Yusuf,Acar,236929781,2.9290524,4,E
Ahmet,Acar,236329911,2.5960393,1,E
Ayşe,Çelik,236486050,2.698447,1,K
Kerem,Acar,236358009,1.6424196,4,E
Zeynep,Kaya,236583842,3.2498035,3,K
Kerem,Demir,236122440,3.400797,1,E
Mert,Kaya,236370772,3.2151814,3,E
Ebru,Kaya,236073341,2.836436,4,K
Mehmet,Çelik,236749616,3.145719,2,E
Kerem,Aslan,236151097,3.5911894,4,E
