=== GANO'ya göre sıralı tüm öğrenciler ===
Tarih: Sun Nov 02 15:56:25 TRT 2025
Toplam Öğrenci: 10001
İsim         Soyad        No           GANO     Sınıf  Cinsiyet
----------------------------------------------------------------
Hasan        Acar         236081366    4,00     4      E
Yusuf        Acar         236104982    4,00     2      E
İrem         Demir        236136645    4,00     2      K
Mehmet       Çelik        236264911    4,00     3      E
Ayşe         Demir        236469613    4,00     3      K
Ebru         Aslan        236419058    4,00     4      K
İrem         Öztürk       236851119    4,00     1      K
Deniz        Aslan        236219778    4,00     1      K
Mustafa      Aslan        236641971    4,00     1      E
Zeynep       Öztürk       236288576    4,00     2      K
Yusuf        Kaya         236732168    4,00     1      E
Ceren        Çelik        236050433    4,00     4      K
Mustafa      Çelik        236529107    3,99     3      E
İrem         Doğan        236934229    3,99     4      K
Ceren        Koç          236038600    3,99     3      K
Kerem        Acar         236664012    3,99     2      E
Mustafa      Çelik        236441850    3,99     1      E
Elif         Şahin        236361886    3,99     1      K
Meryem       Koç          236574845    3,99     4      K
Meryem       Yılmaz       236140786    3,99     1      K
Mustafa      Şahin        236800928    3,99     3      E
Ahmet        Koç          236674294    3,99     4      E
Kerem        Kaya         236329721    3,99     2      E
Fatma        Şahin        236616631    3,99     3      K
Burak        Demir        236725715    3,99     1      E
Ebru         Koç          236629869    3,99     2      K
Ali          Doğan        236876819    3,99     3      E
Emre         Doğan        236659594    3,99     1      E
Ali          Şahin        236653535    3,99     4      E
İrem         Aslan        236843765    3,99     2      K
Meryem       Koç          236447388    3,99     3      K
Burak        Yılmaz       236730043    3,99     3      E
Seda         Kaya         236544229    3,99     2      K
Fatma        Öztürk       236125210    3,99     4      K
Ali          Doğan        236776686    3,99     3      E
Ebru         Çelik        236369091    3,99     3      K
Ceren        Demir        236095564    3,99     4      K
Mehmet       Şahin        236383634    3,99     4      E
Kerem        Aslan        236979915    3,99     2      E
İrem         Acar         236912139    3,99     1      K
Ebru         Yılmaz       236151268    3,99     1      K
Mert         Koç          236545769    3,99     2      E
Mustafa      Doğan        236502564    3,99     2      E
Mehmet       Acar         236817492    3,99     4      E
Meryem       Demir        236316911    3,99     4      K
Meryem       Çelik        236325331    3,99     3      K
Ebru         Acar         236802889    3,99     2      K
Meryem       Çelik        236012620    3,98     4      K
Ceren        Acar         236230047    3,98     1      K
Seda         Öztürk       236879276    3,98     2      K
Burak        Koç          236032130    3,98     4      E
